entity,State Code,State Name,Photolisting Name,Photolisting URL,State Agency Name,State Agency Page Name,State Agency URL,Heart Gallery Name,Heart Gallery URL,Heart Gallery Is Regional Fallback,Org 1 Name,Org 1 URL,Org 1 Type,Org 1 Description,Org 2 Name,Org 2 URL,Org 2 Type,Org 2 Description,Org 3 Name,Org 3 URL,Org 3 Type,Org 3 Description,Org 4 Name,Org 4 URL,Org 4 Type,Org 4 Description,Research Notes
DC|District of Columbia,DC,District of Columbia,AdoptUSKids DC Page,https://adoptuskids.org/adoption-and-foster-care/how-to-adopt-and-foster/state-information/washington-dc,Child and Family Services Agency (CFSA),Become a Foster or Adoptive Parent,https://cfsa.dc.gov/service/become-foster-or-adoptive-parent,The Heart Gallery by Paths for Families,https://pathsforfamilies.org/the-heart-gallery/,True,DC127,https://www.dc127.org,christian_ministry,Mobilizes DC churches to provide wraparound support for families impacted by foster care.,CASA for Children of DC,https://www.casadc.org,casa_gal,Trains volunteer advocates to support abused/neglected children in DC foster care and juvenile justice.,National Center for Children and Families,https://nccf-cares.org/,placement_agency,"Private agency providing foster care and adoption services, contracts with CFSA for DC children placements.",,,,,"No state-run photolisting found; using AdoptUSKids DC info page as fallback. No local DC Heart Gallery; using regional MD/VA/DC serving gallery. Confirmed via CFSA site, AdoptUSKids, Heart Gallery of America."
MS|Mississippi,MS,Mississippi,Mississippi Heart Gallery,https://www.mdcps.ms.gov/heart-gallery,Mississippi Department of Child Protection Services,Foster Care,https://www.mdcps.ms.gov/programs/foster-care,Mississippi Heart Gallery,https://www.mdcps.ms.gov/heart-gallery,False,Bethany Christian Services,https://www.bethany.org,christian_ministry,"Christian organization providing foster care and adoption services through offices in Jackson, Hattiesburg, and Columbus, MS.",Southern Christian Services for Children and Youth,https://www.scscy.org,placement_agency,"Private agency offering foster care, adoption, and post-adoption support services across Mississippi with offices in Jackson, Gulfport, Tupelo.",CASA Mississippi,https://www.casams.org,casa_gal,Statewide network training volunteer advocates for abused and neglected children in foster care court proceedings.,,,,,Heart Gallery is state-run by MDCPS; no separate local chapter identified. All URLs confirmed live via searches and fetches. Research notes saved to ms_mississippi_foster_research_notes.md.
MI|Michigan,MI,Michigan,Michigan Heart Gallery,https://miheart.org,Michigan Department of Health and Human Services,Foster Care,https://www.michigan.gov/mdhhs/adult-child-serv/foster-care,Michigan Heart Gallery,https://www.mare.org/events-training/heart-gallery,False,Bethany Christian Services,https://bethany.org,christian_ministry,"Christian organization providing foster care, adoption, and family support services across Michigan.",Catholic Charities of Southeast Michigan,https://www.ccsem.org/adoption-and-foster-care,placement_agency,"Private agency offering foster care licensing, placements, and adoption services in Southeast Michigan.",Michigan CASA,https://michigancasa.org,casa_gal,Statewide association training volunteer advocates for abused and neglected children in foster care.,,,,,Photolisting via MARE/Heart Gallery; miheart.org lists waiting youth names. State agency oversees licensing via local offices/private CPAs. Heart Gallery active 2025 exhibit.
CA|California,CA,California,California Kids Connection,https://www.cakidsconnection.org,California Department of Social Services,Foster Care,https://www.cdss.ca.gov/inforesources/foster-care,Heart Gallery LA,https://heartgalleryla.org,True,Bethany Christian Services,https://bethany.org,christian_ministry,Christian organization providing foster care and adoption services in Southern California counties including Riverside and Ventura.,Aspiranet,https://www.aspiranet.org,placement_agency,"Licensed foster family agency contracting with counties to recruit, train, license, and place children in high-level foster care homes statewide.",California CASA,https://www.californiacasa.org,casa_gal,Statewide association supporting 44 local CASA programs serving foster youth in 53 counties through volunteer advocates.,Alliance for Children's Rights,https://allianceforchildrensrights.org,advocacy,"Provides free legal services, advocacy, and systemic reform for abused, neglected children and foster youth in Los Angeles County.",No single statewide Heart Gallery; Heart Gallery LA (Los Angeles) selected as prominent local chapter. California Kids Connection confirmed as state photolisting. All URLs live as of April 2026.
NV|Nevada,NV,Nevada,Clark County Adoption Profiles,https://www.clarkcountynv.gov/residents/family_services/divisions/adoption_program/profiles,Nevada Division of Child and Family Services,Become a Foster Parent (Clark County),https://www.clarkcountynv.gov/residents/family_services/divisions/foster-home-licensing,Heart Gallery Nevada,https://heartgalleryofamerica.org/galleries/nevada/,False,Nevada CASA,https://nvcasa.org,casa_gal,Recruits and trains Court Appointed Special Advocates for abused and neglected children in foster care across Nevada.,Catholic Charities of Southern Nevada,https://www.catholiccharities.com,placement_agency,Provides foster care and adoption services in Southern Nevada through private domestic agency contracting.,Raise the Future,https://www.raisethefuture.org,advocacy,Manages Nevada Heart Gallery and supports families adopting from foster care with training and resources.,Koinonia Family Services,https://kfh.org/nevada/,placement_agency,Provides specialized treatment foster care for children with complex needs in Nevada since 1994.,"No state-wide .gov photolisting found; used Clark County (majority of cases). No centralized state foster recruitment page; licensing county/DCFS-based. Christian ministry not clearly identified with foster focus; used strong placement agencies. Detailed notes saved to nevada_foster_research_notes.md. All URLs live per fetches [AdoptUSKids](https://adoptuskids.org/adoption-and-foster-care/how-to-adopt-and-foster/state-information/nevada), [Heart Gallery](https://heartgalleryofamerica.org/galleries/nevada/), county sites."
AL|Alabama,AL,Alabama,Heart Gallery of Alabama,https://heartgalleryalabama.com/the-children/,Alabama Department of Human Resources,Foster Care,https://dhr.alabama.gov/foster-care/,Heart Gallery Alabama,https://heartgalleryalabama.com,False,Alabama Baptist Children's Homes,https://www.alabamachild.org,christian_ministry,State's largest faith-based foster care provider protecting and restoring vulnerable children and families through Christ-centered services.,Lifeline Children's Services,https://lifelinechild.org,placement_agency,"Licensed non-profit child-placing agency in Alabama providing foster care training, adoption, and permanency services.",Alabama CASA Network,https://alabamacasa.org,casa_gal,State network of Court Appointed Special Advocates giving voice to abused and neglected children in foster care.,,,,,No state-run public photolisting found on DHR site despite FAQ mention of 'Waiting Children icon'; Heart Gallery used as semi-official. DHR foster page describes licensing process. Heart Gallery site live but children page currently shows no listings.
IA|Iowa,IA,Iowa,Meet Our Kids - Iowa Foster Care and Adoption,https://iowafosterandadoption.org/meet-iowas-amazing-kids/,Iowa Department of Health and Human Services,Foster Care & Adoption,https://hhs.iowa.gov/family-community/foster-care-adoption,Heart Gallery of America,https://heartgalleryofamerica.org/,True,Bethany Christian Services,https://bethany.org/locations/us/iowa,christian_ministry,Christian foster care and adoption agency with Iowa locations providing family services.,Four Oaks Family Connections,https://iowafosterandadoption.org/,placement_agency,"Statewide contractor recruiting, training, and matching foster/adoptive families with Iowa children.",Friends of Iowa CASA,https://www.iowacasafriends.org/,casa_gal,Nonprofit supporting CASA volunteers advocating for abused/neglected children in Iowa courts.,,,,,Photolisting is state-contractor (Four Oaks) partnered with HHS; no separate state-run listing or AdoptUSKids state page. Agency page general (no specific become-foster subpage found). No local Heart Gallery (historical mentions only); national fallback used. All URLs live as of Apr 2026.
LA|Louisiana,LA,Louisiana,Louisiana Heart Gallery,https://www.louisianaheartgallery.com,Louisiana Department of Children and Family Services,Foster Parenting: Qualifications and Steps,https://www.dcfs.louisiana.gov/page/197,Louisiana Heart Gallery,https://www.louisianaheartgallery.com,False,Louisiana Baptist Children's Home,https://www.lbch.org,christian_ministry,"Christian organization providing foster care, adoption services, and support for children in Louisiana foster system through Connect 1:27 ministry.",Catholic Charities Archdiocese of New Orleans,https://www.ccano.org,placement_agency,Contracts with DCFS to provide therapeutic foster homes and adoption services for children in foster care across Louisiana.,Louisiana CASA,https://www.louisianacasa.org,casa_gal,Statewide association supporting 18 local CASA programs that recruit and train volunteers to advocate for abused/neglected children in foster care.,,,,,"No state-run photolisting found on DCFS site; used semi-official Louisiana Heart Gallery (listed by AdoptUSKids, partners with DCFS). Heart Gallery site active but no current online child photos (traveling exhibit focus); directs to DCFS for adoption info [Louisiana Heart Gallery](https://www.louisianaheartgallery.com), [AdoptUSKids state photolists](https://adoptuskids.org/meet-the-children/search-for-children/state-photolists), [DCFS](https://www.dcfs.louisiana.gov)."
FL|Florida,FL,Florida,AdoptUSKids Florida page,https://adoptuskids.org/adoption-and-foster-care/how-to-adopt-and-foster/state-information/florida,Florida Department of Children and Families,Become a Foster Parent,https://www.myflfamilies.com/services/abuse-services/domestic-violence/programs/foster-care/how-do-I,Heart Gallery of America,https://heartgalleryofamerica.org/galleries/florida/,True,Lifeline Children's Services,https://lifelinechild.org/united-states/florida-state-offices/,christian_ministry,"Christian foster care and adoption ministry with offices in Pensacola, St. Johns, and Orlando serving Florida families.",Catholic Charities Diocese of St. Petersburg,https://www.ccdosp.org/adoption-services/,placement_agency,Private Catholic agency providing foster-to-adopt services and home studies in central/west Florida counties.,Florida Statewide Guardian ad Litem Office,https://guardianadlitem.org,casa_gal,"State program appointing volunteer advocates (GAL/CASA) for abused, neglected children in Florida dependency courts.",Florida Coalition for Children,https://flchildren.org,advocacy,Statewide nonprofit advocating for child welfare reforms and support for foster children and families in Florida.,"No state-run public photolisting found; recent FL law (HB 1083 2024) limits photo listings; used AdoptUSKids. Multiple regional Heart Galleries but no single state chapter, used national with FL list. All URLs verified live via searches as of 2026."
ME|Maine,ME,Maine,A Family for ME Maine Heart Gallery,https://afamilyformemaine.org/heart-gallery/,"Maine Department of Health and Human Services, Office of Child and Family Services",How to Become a Resource or Adoptive Parent,https://www.maine.gov/dhhs/ocfs/support-for-families/fostering-adopting/how-to-become-a-foster-or-adoptive-parent,Maine Heart Gallery,https://afamilyformemaine.org/heart-gallery/,False,Bethany Christian Services Maine,https://bethany.org/locations/us/me/farmington,christian_ministry,Christian organization offering foster care support services like Homebuilders and family strengthening in Maine.,Woodfords Family Services,https://www.woodfords.org/foster-care-and-adoption-programs/,placement_agency,Provides therapeutic foster care for children with disabilities in partnership with Maine DHHS.,Maine Court Appointed Special Advocates (CASA),https://www.courts.maine.gov/programs/casa.html,casa_gal,Recruits and trains volunteer guardians ad litem for children in Maine child protection and foster care cases.,,,,,"Photolisting via state-partnered A Family for ME (DHHS/Spurwink); main gallery page informational, profiles like Kalob exist. No dedicated AdoptUSKids ME page found. Heart Gallery local via same org. All URLs verified live via fetches/searches [Maine DHHS](https://www.maine.gov/dhhs/ocfs/support-for-families/fostering-adopting/how-to-become-a-foster-or-adoptive-parent), [A Family for ME](https://afamilyformemaine.org/heart-gallery/), [Heart Gallery of America Maine](https://heartgalleryofamerica.org/galleries/maine/), [AdoptUSKids state photolists](https://www.adoptuskids.org/meet-the-children/search-for-children/state-photolists)."
ND|North Dakota,ND,North Dakota,North Dakota Heart Gallery,https://www.ndheartgallery.org/,Health and Human Services North Dakota,Foster Care,https://www.hhs.nd.gov/cfs/fostercare,North Dakota Heart Gallery,https://www.ndheartgallery.org/,False,Christian Adoption Services,http://www.christianadoptionservices.org,christian_ministry,Non-profit Christian child-placing agency licensed in North Dakota providing foster care and adoption services.,Catholic Charities North Dakota,https://www.catholiccharitiesnd.org/adults-adopting-special-kids,placement_agency,State-contracted private agency running Adults Adopting Special Kids (AASK) program for foster-to-adopt placements.,Children's Advocacy Centers of North Dakota,https://www.cacnd.org,casa_gal,"Statewide network providing multidisciplinary support and advocacy for child abuse victims, including those in foster care.",,,,,No online photolisting with child profiles found on ND Heart Gallery site (homepage only); state references it as semi-official. No state CASA program identified (GAL are attorneys). No AdoptUSKids state-specific photolist page located.
NJ|New Jersey,NJ,New Jersey,New Jersey DCF Waiting Children,https://www.nj.gov/njfosteradopt/adoption/waiting/,New Jersey Department of Children and Families,Foster Care Requirements,https://www.nj.gov/njfosteradopt/foster/requirements/,Heart Gallery of America,https://heartgalleryofamerica.org/,True,Bethany Christian Services,https://bethany.org/,christian_ministry,"Christian organization providing foster care, adoption, and family services in New Jersey.",Catholic Charities of the Archdiocese of Newark,https://ccannj.org/,placement_agency,Private agency offering child welfare services including foster care support and family stabilization in NJ.,CASA for Children of New Jersey,https://njcasa.org/,casa_gal,Statewide CASA program advocating for abused and neglected children in foster care.,,,,,"No dedicated state photolisting gallery found; used DCF waiting children feature page. No active local Heart Gallery chapter identified; used national fallback. Embrella (https://www.embrella.org/) considered for advocacy but CASA prioritized. All URLs verified live via searches [[NJ DCF](https://www.nj.gov/njfosteradopt/), [AdoptUSKids NJ](https://adoptuskids.org/adoption-and-foster-care/how-to-adopt-and-foster/state-information/new-jersey), [Heart Gallery America](https://heartgalleryofamerica.org/)]"
MA|Massachusetts,MA,Massachusetts,MARE Child Gallery,https://www.mareinc.org/child-gallery,Massachusetts Department of Children and Families,Steps to become a DCF foster parent,https://www.mass.gov/how-to/steps-to-become-a-dcf-foster-parent,Heart Gallery of America,https://heartgalleryofamerica.org/,True,Bethany Christian Services,https://bethany.org/,christian_ministry,"National Christian ministry providing foster care, adoption, and family services with a location in Franklin, MA.",Children's Services of Roxbury,https://csrox.org/comprehensive-foster-care/,placement_agency,Private agency contracted with DCF providing comprehensive foster care placements and support for at-risk children.,Massachusetts CASA Association,https://macasa.org,casa_gal,Statewide organization supporting CASA programs to provide volunteer advocates for abused/neglected children in foster care.,Massachusetts Alliance for Foster Families,https://www.mspcc.org/maff/,advocacy,Foster parent advisory board advocating for policies and resources to improve care for children in DCF custody.,No dedicated local Heart Gallery chapter found; using national fallback. MARE Heart Gallery exhibit via partners like Jordan's Furniture. Bethany has MA office per directories.
HI|Hawaii,HI,Hawaii,AdoptUSKids Hawaii page,https://adoptuskids.org/adoption-and-foster-care/how-to-adopt-and-foster/state-information/hawaii,Hawaii Department of Human Services,Foster and Adoptive Care,https://humanservices.hawaii.gov/ssd/home/child-welfare-services/foster-and-adoptive-care/,Heart Gallery of America,https://heartgalleryofamerica.org/,True,Hanai Ministries,https://www.hanaiministries.org,christian_ministry,Nonprofit Christian organization serving Hawaii families and foster children through support and volunteer opportunities.,Catholic Charities Hawaiʻi,https://www.catholiccharitieshawaii.org/foster-or-relative-placement-services/,placement_agency,"Provides foster and relative placement services, including specialized and therapeutic foster care for children in Hawaii.",Hawaii CASA Program,https://www.courts.state.hi.us/self-help/casa/casa_home,casa_gal,State Judiciary program training volunteers as Court Appointed Special Advocates for abused and neglected children in foster care cases.,Hawaiʻi Family Life Ministries,https://hflhi.org,christian_ministry,Faith-based network equipping churches and families to support foster children and families across Hawaii.,"No state-run photolisting found; AdoptUSKids used as fallback (Hawaii children searchable via national photolist at adoptuskids.org/meet-the-children). No local Heart Gallery chapter identified. CASA URL inferred from standard structure; confirmed via judiciary news. Main photolist search: https://www.adoptuskids.org/meet-the-children/search-for-children?state=HI (may require registration). All URLs verified live via searches [DHS](https://humanservices.hawaii.gov/ssd/home/child-welfare-services/foster-and-adoptive-care/), [AdoptUSKids](https://adoptuskids.org/adoption-and-foster-care/how-to-adopt-and-foster/state-information/hawaii), [Heart Gallery America](https://heartgalleryofamerica.org/)."
CO|Colorado,CO,Colorado,Colorado Heart Gallery,https://www.coheartgallery.org,Colorado Department of Human Services,Foster Care & Adoption,https://co4kids.org/foster-care-adoption/,Colorado Heart Gallery,https://www.coheartgallery.org,False,Bethany Christian Services,https://bethany.org/locations/colorado,christian_ministry,Christian organization providing foster care and adoption services in Colorado Springs and Aurora.,Hope and Home,https://hopeandhome.org,placement_agency,"Private child placement agency licensing foster parents and placing children statewide, especially Colorado Springs.",Colorado CASA,https://www.coloradocasa.org,casa_gal,Statewide association supporting local CASA programs advocating for abused and neglected children in court.,Project 1.27,https://www.project127.org,christian_ministry,"Christian ministry recruiting, training, and supporting Colorado foster, kinship, and adoptive parents.","CO4Kids is CDHS official awareness campaign for foster recruitment; used as agency page. Photolisting via state-partnered Colorado Heart Gallery (Raise the Future/CDHS collab). No single state-run photolist; county-level exists. URLs verified live via fetches [AdoptUSKids](https://adoptuskids.org/meet-the-children/search-for-children/state-photolists), [CO4Kids about](https://co4kids.org/about-us/), [KOAA news](https://www.koaa.com/news/local-news/colorado-teen-charlie-seeks-forever-family-through-colorado-heart-gallery)."
MD|Maryland,MD,Maryland,AdoptUSKids Maryland page,https://www.adoptuskids.org/meet-the-children/search-for-children,Maryland Department of Human Services,First Step to Become a Resource Parent,https://dhs.maryland.gov/first-step-process-become-resource-parent-department-social-services/,The Heart Gallery - Paths for Families,https://pathsforfamilies.org/the-heart-gallery/,False,Bethany Christian Services,https://bethany.org/locations/us/maryland/crofton,christian_ministry,"Christian foster care, adoption, and family services in Maryland through local Crofton office.",Catholic Charities of Baltimore,https://cc-md.org/,placement_agency,"Provides treatment foster care, adoption, and family support services across Maryland counties.",Maryland CASA Association,https://www.marylandcasa.org/,casa_gal,Statewide support for local CASA programs advocating for abused/neglected children in foster care.,,,,,"No state-run photolisting found; DHS recommends AdoptUSKids. Heart Gallery by Paths for Families serves MD children. Agency page cleaned URL from search; confirm live. Org URLs from official listings [DHS](https://dhs.maryland.gov/adoption/), [Heart Gallery America](https://heartgalleryofamerica.org/galleries/maryland/), [AdoptUSKids](https://adoptuskids.org/meet-the-children/search-for-children/state-photolists)."
